Spider "new_vehicles" Started at "2024-04-04 124830"

Error Logs:

No previous output files found
End of Error Logs:


Informative Logs:
Total States found in the website : 51

Total No of Dealers: "58" exists in the state : "Alabama|AL"
State: "New Jersey|NJ", Dealer Name: "PENSKE USED TRUCKS - PENNSAUKEN, NJ" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Liccardi Ford" has 62 vehicles
State: "New Jersey|NJ", Dealer Name: "Highline Motor Cars" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Sansone Chrysler Dodge Jeep Ram" has 40 vehicles
State: "New Jersey|NJ", Dealer Name: "United Ford" has 78 vehicles
State: "New Jersey|NJ", Dealer Name: "PENSKE USED TRUCKS - DAYTON, NJ" has no vehicles
State: "New Jersey|NJ", Dealer Name: "All American Ford of Hackensack" has 72 vehicles
State: "New Jersey|NJ", Dealer Name: "Car Revolution" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Mercedes Benz of Paramus" has 58 vehicles
State: "New Jersey|NJ", Dealer Name: "Causeway Ford" has 109 vehicles
State: "New Jersey|NJ", Dealer Name: "Holman Mercedes-Benz Sprinter" has 92 vehicles
State: "New Jersey|NJ", Dealer Name: "J & C Auto Sales" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Advanced Fleet Management" has no vehicles
State: "New Jersey|NJ", Dealer Name: "ROUTE 1 CHRYSLER DODGE JEEP RAM OF LAWRENCEVILLE" has 132 vehicles
State: "New Jersey|NJ", Dealer Name: "All American Ford of Point Pleasant" has 311 vehicles
State: "New Jersey|NJ", Dealer Name: "iCar Auto Sales" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Ryder Used Trucks in Kearny" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Performance Ford" has 101 vehicles
State: "New Jersey|NJ", Dealer Name: "Performance Buick GMC" has 72 vehicles
State: "New Jersey|NJ", Dealer Name: "Custom Truck One Source - Cinnaminson" has 1040 vehicles
State: "New Jersey|NJ", Dealer Name: "Pellegrino Chevrolet Truck Center" has 100 vehicles
State: "New Jersey|NJ", Dealer Name: "Kindle Ford Lincoln" has 56 vehicles
State: "New Jersey|NJ", Dealer Name: "Holman Ford Lincoln Maple Shade" has 94 vehicles
State: "New Jersey|NJ", Dealer Name: "FlexiLease" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Rezzetti Enterprises" has no vehicles
State: "New Jersey|NJ", Dealer Name: "mb Motorsports" has no vehicles
State: "New Jersey|NJ", Dealer Name: "New Jersey Truck Spot" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Hawthorne Chevrolet" has 93 vehicles
State: "New Jersey|NJ", Dealer Name: "Fred Beans Ford of Washington" has 153 vehicles
State: "New Jersey|NJ", Dealer Name: "Miranda Motors Used Trucks" has no vehicles
State: "New Jersey|NJ", Dealer Name: "NCL Truck Sales" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Tom's Ford" has 71 vehicles
State: "New Jersey|NJ", Dealer Name: "PENSKE USED TRUCKS - PARSIPPANY, NJ" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Barlow Chevrolet" has 534 vehicles
State: "New Jersey|NJ", Dealer Name: "Arrow Truck Sales Newark" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Schwartz Truck Center" has 12 vehicles
State: "New Jersey|NJ", Dealer Name: "TETERBORO CHRYSLER DODGE JEEP RAM" has 26 vehicles
State: "New Jersey|NJ", Dealer Name: "Ramsey Chrysler Jeep Dodge Ram" has 38 vehicles
State: "New Jersey|NJ", Dealer Name: "Arrow Truck Sales Philadelphia" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Miller Truck Leasing" has no vehicles
State: "New Jersey|NJ", Dealer Name: "PENSKE USED TRUCKS - LINDEN, NJ" has no vehicles
State: "New Jersey|NJ", Dealer Name: "FULLERTON CHRYSLER JEEP DODGE RAM" has 34 vehicles
State: "New Jersey|NJ", Dealer Name: "PENSKE USED TRUCKS - NORTH BERGEN, NJ" has no vehicles
State: "New Jersey|NJ", Dealer Name: "Atlas Motor Group" has no vehicles
State: "New Jersey|NJ", Dealer Name: "PRECISION CHRYSLER JEEP DODGE RAM" has 19 vehicles
State: "New Jersey|NJ", Dealer Name: "Richard Lucas Chevrolet" has 121 vehicles
State: "New Jersey|NJ", Dealer Name: "All American Ford & Isuzu in Old Bridge" has 465 vehicles


 State New Jersey|NJ, has Total Vehicles : 4538


Total No of Dealers: "8" exists in the state : "New Mexico|NM"

State: "New Mexico|NM", Dealer Name: "PENSKE USED TRUCKS - ALBUQUERQUE, NM" has no vehicles
State: "New Mexico|NM", Dealer Name: "Larry H Miller Casa Chevrolet" has 118 vehicles
State: "New Mexico|NM", Dealer Name: "Mercedes-Benz-Albuquerque" has 25 vehicles
State: "New Mexico|NM", Dealer Name: "Melloy Chevrolet" has 56 vehicles
State: "New Mexico|NM", Dealer Name: "PENSKE USED TRUCKS - ALBUQUERQUE, NM" has no vehicles
State: "New Mexico|NM", Dealer Name: "Melloy Chrysler Jeep Dodge Ram" has 131 vehicles
State: "New Mexico|NM", Dealer Name: "Rush Truck Centers - Albuquerque" has 3 vehicles
State: "New Mexico|NM", Dealer Name: "Albuquerque : LoneStar Truck Group" has 7 vehicles


 State New Mexico|NM, has Total Vehicles : 340


Total No of Dealers: "99" exists in the state : "New York|NY"

State: "New York|NY", Dealer Name: "Shults Ford" has 53 vehicles
State: "New York|NY", Dealer Name: "Allegiance Trucks - Hoosick" has no vehicles
State: "New York|NY", Dealer Name: "Allegiance - Lake Champlain" has no vehicles
State: "New York|NY", Dealer Name: "Arkel Motors Inc." has 5 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - AUBURN, NY" has no vehicles
State: "New York|NY", Dealer Name: "Allegiance - Ave. D Brooklyn" has no vehicles
State: "New York|NY", Dealer Name: "Cassone Truck Sales" has 28 vehicles
State: "New York|NY", Dealer Name: "Mobile Auto Mechanics" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - ROCHESTER, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - ELMIRA, NY" has no vehicles
State: "New York|NY", Dealer Name: "Joe Johnson Equipment" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - NEW YORK, NY" has no vehicles
State: "New York|NY", Dealer Name: "Subzero Technologies" has 5 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - AKRON, NY" has no vehicles
State: "New York|NY", Dealer Name: "Allegiance - Hudson Valley" has no vehicles
State: "New York|NY", Dealer Name: "Capo Brothers Inc" has 13 vehicles
State: "New York|NY", Dealer Name: "Outdoor Motor Sports" has 169 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - FARMINGDALE, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - BUFFALO, NY" has no vehicles
State: "New York|NY", Dealer Name: "Kenworth Northeast" has 14 vehicles
State: "New York|NY", Dealer Name: "Cooley Commercial Trucks" has no vehicles
State: "New York|NY", Dealer Name: "Edge Auto" has 1 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - CONKLIN, NY" has no vehicles
State: "New York|NY", Dealer Name: "Hudson Valley Truck Center" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - LIVERPOOL, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - BUFFALO, NY" has no vehicles
State: "New York|NY", Dealer Name: "Hunter Truck - Buffalo, NY" has 6 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - JAMAICA, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - GUILDERLAND CENTER, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - MINOA, NY" has no vehicles
State: "New York|NY", Dealer Name: "Milea Truck Sales Corp" has 1 vehicles
State: "New York|NY", Dealer Name: "Regional International" has 50 vehicles
State: "New York|NY", Dealer Name: "Lake Country Auctions" has no vehicles
State: "New York|NY", Dealer Name: "Gamex Inc." has no vehicles
State: "New York|NY", Dealer Name: "Ryder Used Trucks in Farmingdale" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - BINGHAMTON, NY" has no vehicles
State: "New York|NY", Dealer Name: "Tracey Road Equipment" has 33 vehicles
State: "New York|NY", Dealer Name: "Hub Truck Rental Corporation" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - BUFFALO, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - FREDONIA, NY" has no vehicles
State: "New York|NY", Dealer Name: "Arthur Trovei & Sons" has no vehicles
State: "New York|NY", Dealer Name: "Allegiance - Liverpool" has 28 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - COXSACKIE, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - WATERTOWN, NY" has no vehicles
State: "New York|NY", Dealer Name: "Victor Chevrolet" has 63 vehicles
State: "New York|NY", Dealer Name: "Ryder Used Trucks in Syracuse" has no vehicles
State: "New York|NY", Dealer Name: "Trailer Marketing Services" has 217 vehicles
State: "New York|NY", Dealer Name: "Affordable Auto Service and Sales LLC" has no vehicles
State: "New York|NY", Dealer Name: "Southshore Chrysler Dodge Jeep Ram" has 154 vehicles
State: "New York|NY", Dealer Name: "Fritz Trailer sales" has 196 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - WEST BABYLON, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - WHITESBORO, NY" has no vehicles
State: "New York|NY", Dealer Name: "Atlantic Truckworks" has 1 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - ROCHESTER, NY" has no vehicles
State: "New York|NY", Dealer Name: "WESTBURY JEEP CHRYSLER DODGE, INC." has 189 vehicles
State: "New York|NY", Dealer Name: "Mercedes-Benz of Rockville Centre" has 29 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - GENEVA, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - ELMSFORD, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - MONTGOMERY, NY" has no vehicles
State: "New York|NY", Dealer Name: "East Syracuse Chevrolet" has 125 vehicles
State: "New York|NY", Dealer Name: "Robert Green Truck Division" has 32 vehicles
State: "New York|NY", Dealer Name: "WEST-HERR DODGE" has 69 vehicles
State: "New York|NY", Dealer Name: "Van Bortel Ford Inc" has 33 vehicles
State: "New York|NY", Dealer Name: "Basil Chevrolet" has 49 vehicles
State: "New York|NY", Dealer Name: "Victor Chrysler Dodge Jeep Ram" has 42 vehicles
State: "New York|NY", Dealer Name: "Upstate Chrysler Dodge Jeep Ram" has 44 vehicles
State: "New York|NY", Dealer Name: "Ogden Auto Sales, LLC" has 1 vehicles
State: "New York|NY", Dealer Name: "Rock City Chrysler Jeep Dodge" has 32 vehicles
State: "New York|NY", Dealer Name: "DePaula Ford" has 105 vehicles
State: "New York|NY", Dealer Name: "Dana Motors" has 433 vehicles
State: "New York|NY", Dealer Name: "New Rochelle Chevrolet" has 40 vehicles
State: "New York|NY", Dealer Name: "NXT Multi Location Demo Dealer - CTT NY" has no vehicles
State: "New York|NY", Dealer Name: "DePaula Chevrolet" has 162 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - MONTGOMERY, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - SARASOTA SPRINGS, NY" has no vehicles
State: "New York|NY", Dealer Name: "MoreThanTrucks.com, Inc." has no vehicles
State: "New York|NY", Dealer Name: "Stevens Ford" has 100 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - ALBANY, NY" has no vehicles
State: "New York|NY", Dealer Name: "Caledonia Diesel" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - WEBSTER, NY" has no vehicles
State: "New York|NY", Dealer Name: "Huttig CDJR" has 68 vehicles
State: "New York|NY", Dealer Name: "TOWN & COUNTRY JEEP CHRYSLER DODGE RAM" has 63 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - ROCHESTER, NY" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - ELMIRA,NY" has no vehicles
State: "New York|NY", Dealer Name: "Gamache Truck Center" has no vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - CENTRAL ISLIP, NY" has no vehicles
State: "New York|NY", Dealer Name: "Vans Vans Vans Inc. DBA Davidson Vans" has no vehicles
State: "New York|NY", Dealer Name: "Mercedes-Benz of Orange County" has 32 vehicles
State: "New York|NY", Dealer Name: "W.S. Healy Chevrolet" has 65 vehicles
State: "New York|NY", Dealer Name: "Mangino Chevrolet" has 88 vehicles
State: "New York|NY", Dealer Name: "SECURITY DODGE CHRYSLER JEEP RAM" has 117 vehicles
State: "New York|NY", Dealer Name: "HEALEY CHRYSLER DODGE JEEP LLC" has 49 vehicles
State: "New York|NY", Dealer Name: "Sawyer Motors" has 63 vehicles
State: "New York|NY", Dealer Name: "PENSKE USED TRUCKS - GANSEVOORT, NY" has no vehicles
State: "New York|NY", Dealer Name: "Autosaver Ford" has 353 vehicles
State: "New York|NY", Dealer Name: "Basil Ford" has 93 vehicles
State: "New York|NY", Dealer Name: "Custom Truck One Source - Syracuse" has 1040 vehicles
State: "New York|NY", Dealer Name: "Friendly Chrysler Dodge Jeep RAM" has 121 vehicles
State: "New York|NY", Dealer Name: "Joe Cecconi's Chrysler Complex" has 113 vehicles


 State New York|NY, has Total Vehicles : 4787


Total No of Dealers: "132" exists in the state : "North Carolina|NC"

State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GREENSBORO, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - ALTAMAHAW, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CHARLOTTE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GREENSBORO, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CHARLOTTE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GREENSBORO, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - SANFORD, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - RALEIGH, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Grooms Heavy Truck Sales LLC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Monroe Truck Sales" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GOLDSBORO, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GARNER, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - ROCKY MOUNT, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - FAYETTEVILLE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Levan Equipment" has no vehicles
State: "North Carolina|NC", Dealer Name: "Altec NUECO - Mount Airy" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CHARLOTTE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CONCORD, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Stewart Motors, LLC" has 1 vehicles
State: "North Carolina|NC", Dealer Name: "Phelps Truck Sales" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GREENSBORO, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - INDIAN TRAIL, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "White's International Trucks - Greensboro" has 3 vehicles
State: "North Carolina|NC", Dealer Name: "Eastern Wrecker Sales Inc" has 15 vehicles
State: "North Carolina|NC", Dealer Name: "Piedmont Truck Center" has 22 vehicles
State: "North Carolina|NC", Dealer Name: "HGR's Truck and Trailer Sales" has 289 vehicles
State: "North Carolina|NC", Dealer Name: "Velocity Truck Center - Wilmington" has 14 vehicles
State: "North Carolina|NC", Dealer Name: "Autos Plus Sales" has no vehicles
State: "North Carolina|NC", Dealer Name: "Bleecker Chry-Dodge-Jeep Inc" has 17 vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - WILMINGTON, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Hendrick Chrysler Dodge Jeep Ram Fiat Wilmington" has 62 vehicles
State: "North Carolina|NC", Dealer Name: "Randy Marion Ford Lincoln LLC" has 302 vehicles
State: "North Carolina|NC", Dealer Name: "Leith Mercedes of Raleigh" has 39 vehicles
State: "North Carolina|NC", Dealer Name: "Randy Marion CDJR" has 458 vehicles
State: "North Carolina|NC", Dealer Name: "Autostar CDJR of Hendersonville" has 56 vehicles
State: "North Carolina|NC", Dealer Name: "Ryder Used Trucks in Greensboro" has no vehicles
State: "North Carolina|NC", Dealer Name: "Capital Motors" has no vehicles
State: "North Carolina|NC", Dealer Name: "Swanny's Auto Sales" has no vehicles
State: "North Carolina|NC", Dealer Name: "Minton Automotive Truck Sales" has 3 vehicles
State: "North Carolina|NC", Dealer Name: "International Used Truck Center of Charlotte" has no vehicles
State: "North Carolina|NC", Dealer Name: "Smart Chevrolet" has 23 vehicles
State: "North Carolina|NC", Dealer Name: "Scenic Automotive Group" has 66 vehicles
State: "North Carolina|NC", Dealer Name: "Parkway Ford Trucks" has 138 vehicles
State: "North Carolina|NC", Dealer Name: "McMahon Truck Centers of Charlotte" has 5 vehicles
State: "North Carolina|NC", Dealer Name: "Hendrick Dodge" has 101 vehicles
State: "North Carolina|NC", Dealer Name: "Bob King Auto Mall Commercial" has 8 vehicles
State: "North Carolina|NC", Dealer Name: "Hammer Truck Sales" has no vehicles
State: "North Carolina|NC", Dealer Name: "Bleecker Chevrolet" has 26 vehicles
State: "North Carolina|NC", Dealer Name: "Impex Chevrolet Buick GMC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Steve White" has 98 vehicles
State: "North Carolina|NC", Dealer Name: "Terry Labonte Chevrolet" has 297 vehicles
State: "North Carolina|NC", Dealer Name: "Ben Mynatt Chevrolet-Commercial" has 71 vehicles
State: "North Carolina|NC", Dealer Name: "Hendrick Chrysler, Dodge, Jeep, RAM of Concord" has 252 vehicles
State: "North Carolina|NC", Dealer Name: "Hendrick Chevrolet - Cary" has 171 vehicles
State: "North Carolina|NC", Dealer Name: "Black Chrysler Dodge Jeep Ram" has 620 vehicles
State: "North Carolina|NC", Dealer Name: "City Chevrolet" has 246 vehicles
State: "North Carolina|NC", Dealer Name: "Callaway Motor Co" has no vehicles
State: "North Carolina|NC", Dealer Name: "TenFour Truck Trader" has no vehicles
State: "North Carolina|NC", Dealer Name: "Impex Heavy Metal" has 1 vehicles
State: "North Carolina|NC", Dealer Name: "Parks Chevrolet - Kernersville" has 283 vehicles
State: "North Carolina|NC", Dealer Name: "MHC Kenworth - Charlotte" has 15 vehicles
State: "North Carolina|NC", Dealer Name: "John Hiester Chrysler Dodge Jeep Ram of Sanford" has 61 vehicles
State: "North Carolina|NC", Dealer Name: "Cox Chrysler Dodge Jeep Ram" has 33 vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GREENSBORO, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CHARLOTTE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CONCORD, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CHARLOTTE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CONCORD, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Joseph Motors Inc." has no vehicles
State: "North Carolina|NC", Dealer Name: "H & H Enterprise Auto Sales Inc" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - STATESVILLE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - MEBANE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Boone Chrysler Dodge Jeep Ram" has 44 vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - ASHEVILLE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - CONOVER, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Jacky Jones Ford of Hayesville" has 24 vehicles
State: "North Carolina|NC", Dealer Name: "Lee Chevrolet Pontiac Buick" has 89 vehicles
State: "North Carolina|NC", Dealer Name: "Everett Chevrolet Trucks" has 189 vehicles
State: "North Carolina|NC", Dealer Name: "Parks Ford Hendersonville" has 204 vehicles
State: "North Carolina|NC", Dealer Name: "Excel Truck Group - Charlotte" has 19 vehicles
State: "North Carolina|NC", Dealer Name: "Kernersville Chrysler Dodge Jeep" has no vehicles
State: "North Carolina|NC", Dealer Name: "Crossroads Ford of Indian Trail" has 93 vehicles
State: "North Carolina|NC", Dealer Name: "Capital Chrysler Jeep Dodge, LLC" has 173 vehicles
State: "North Carolina|NC", Dealer Name: "CAPITAL CHEVROLET" has 287 vehicles
State: "North Carolina|NC", Dealer Name: "WESTGATE CHRYSLER JEEP DODGE RAM" has 109 vehicles
State: "North Carolina|NC", Dealer Name: "University Ford" has 96 vehicles
State: "North Carolina|NC", Dealer Name: "Crossroads Ford" has 346 vehicles
State: "North Carolina|NC", Dealer Name: "Capital Chrysler Dodge Jeep Ram of Indian Trail" has 171 vehicles
State: "North Carolina|NC", Dealer Name: "Capital Ford of Charlotte" has 281 vehicles
State: "North Carolina|NC", Dealer Name: "Randy Marion Chevrolet, GMC, Isuzu" has 310 vehicles
State: "North Carolina|NC", Dealer Name: "Capital Ford Commercial Truck Center" has 386 vehicles
State: "North Carolina|NC", Dealer Name: "LaFayette Ford" has 111 vehicles
State: "North Carolina|NC", Dealer Name: "Mark Ficken Ford Lincoln" has 245 vehicles
State: "North Carolina|NC", Dealer Name: "Capital Chevrolet of Shallotte" has 50 vehicles
State: "North Carolina|NC", Dealer Name: "Beam Trailer Sales" has 7 vehicles
State: "North Carolina|NC", Dealer Name: "High Country Truck & Van" has no vehicles
State: "North Carolina|NC", Dealer Name: "Jeff Gordon Chevrolet" has 96 vehicles
State: "North Carolina|NC", Dealer Name: "TRT Trailers Sales Inc" has 46 vehicles
State: "North Carolina|NC", Dealer Name: "LEC TRUCK & EQUIPMENT" has no vehicles
State: "North Carolina|NC", Dealer Name: "White's International Trucks - Wilson" has no vehicles
State: "North Carolina|NC", Dealer Name: "Modern Nissan of Lake Norman" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GASTONIA, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - WINSTON - SALEM, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Carolina Auto Direct" has no vehicles
State: "North Carolina|NC", Dealer Name: "Smith International Truck Center - Fayetteville" has 1 vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - MORRISVILLE, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "White's International Trucks - Greenville" has no vehicles
State: "North Carolina|NC", Dealer Name: "Salem Leasing Corporation" has no vehicles
State: "North Carolina|NC", Dealer Name: "Rush Truck Centers - Hickory" has no vehicles
State: "North Carolina|NC", Dealer Name: "Palfinger - Charlotte" has 1 vehicles
State: "North Carolina|NC", Dealer Name: "Dick Kelly Truck Sales" has no vehicles
State: "North Carolina|NC", Dealer Name: "Truck to Trailer" has no vehicles
State: "North Carolina|NC", Dealer Name: "Performance Chrysler Dodge Jeep Ram" has 36 vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - GREENSBORO, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Rush Truck Centers - Charlotte" has 14 vehicles
State: "North Carolina|NC", Dealer Name: "Ilderton Chrysler Jeep Dodge Ram" has 138 vehicles
State: "North Carolina|NC", Dealer Name: "PENSKE USED TRUCKS - WINSTON SALEM, NC" has no vehicles
State: "North Carolina|NC", Dealer Name: "Ryder Used Trucks in Charlotte" has no vehicles
State: "North Carolina|NC", Dealer Name: "MHC Kenworth - Raleigh" has 32 vehicles
State: "North Carolina|NC", Dealer Name: "Green Ford" has 25 vehicles
State: "North Carolina|NC", Dealer Name: "Trailers Of The East Coast" has 80 vehicles
State: "North Carolina|NC", Dealer Name: "Black Automotive" has 22 vehicles
State: "North Carolina|NC", Dealer Name: "Key Automotive Group Llc" has no vehicles
State: "North Carolina|NC", Dealer Name: "Vast Equipment & Truck Sales" has no vehicles
State: "North Carolina|NC", Dealer Name: "Triangle Truck Center" has no vehicles
State: "North Carolina|NC", Dealer Name: "A and Z Auto Brokers" has no vehicles
State: "North Carolina|NC", Dealer Name: "Salem Nationalease" has no vehicles
State: "North Carolina|NC", Dealer Name: "Fleet Lease Remarketing" has no vehicles
State: "North Carolina|NC", Dealer Name: "Hiester Chevrolet" has 14 vehicles
State: "North Carolina|NC", Dealer Name: "Hendrick Motors of Charlotte" has 57 vehicles
State: "North Carolina|NC", Dealer Name: "Ameritruck" has no vehicles
State: "North Carolina|NC", Dealer Name: "Crook Motor Company LLC" has 7 vehicles


 State North Carolina|NC, has Total Vehicles : 7599


Total No of Dealers: "5" exists in the state : "North Dakota|ND"

State: "North Dakota|ND", Dealer Name: "PENSKE USED TRUCKS - LINCOLN, ND" has no vehicles
State: "North Dakota|ND", Dealer Name: "PENSKE USED TRUCKS - FARGO, ND" has no vehicles
State: "North Dakota|ND", Dealer Name: "Wallwork Truck Center" has 107 vehicles
State: "North Dakota|ND", Dealer Name: "VISTOS TRAILER SALES" has 337 vehicles
State: "North Dakota|ND", Dealer Name: "Acme Equipment" has 166 vehicles


 State North Dakota|ND, has Total Vehicles : 610


Total No of Dealers: "181" exists in the state : "Ohio|OH"

State: "Ohio|OH", Dealer Name: "Akron Freightliner, Inc" has 11 vehicles
State: "Ohio|OH", Dealer Name: "VALLEY MOTOR CITY" has 252 vehicles
State: "Ohio|OH", Dealer Name: "PENSKE USED TRUCKS - CINCINNATI, OH" has no vehicles
State: "Ohio|OH", Dealer Name: "Sunnyside Chevrolet" has 169 vehicles
State: "Ohio|OH", Dealer Name: "Classic Ford of Mentor" has 74 vehicles
State: "Ohio|OH", Dealer Name: "Valley Ford Truck Sales Inc" has 245 vehicles
State: "Ohio|OH", Dealer Name: "Columbiana Chrysler Jeep Dodge" has 160 vehicles
State: "Ohio|OH", Dealer Name: "Stykemain Trucks, Inc." has no vehicles
State: "Ohio|OH", Dealer Name: "Liberty Ford" has 115 vehicles
State: "Ohio|OH", Dealer Name: "PENSKE USED TRUCKS - MIDDLEFIELD, OH" has no vehicles
State: "Ohio|OH", Dealer Name: "LIBERTY FORD BRUNSWICK" has 121 vehicles
State: "Ohio|OH", Dealer Name: "Shafer's Truck Sales" has 1 vehicles
State: "Ohio|OH", Dealer Name: "Mercedes-Benz of Centerville" has 26 vehicles
State: "Ohio|OH", Dealer Name: "PENSKE USED TRUCKS - BROOK PARK, OH" has no vehicles
State: "Ohio|OH", Dealer Name: "Medina Auto Mall CDJR" has 293 vehicles
State: "Ohio|OH", Dealer Name: "Liberty Ford Canton" has 66 vehicles
State: "Ohio|OH", Dealer Name: "Chevrolet of Ottawa" has 12 vehicles
State: "Ohio|OH", Dealer Name: "PENSKE USED TRUCKS - TOLEDO, OH" has no vehicles
