Spider "farmers_records" Started at "110520240145"

District BANKA , Sub District Name: Amarpur Has Total Records : 0
District BEGUSARAI , Sub District Name: Shamho Akha Kurha Has Total Records : 0
District BEGUSARAI , Sub District Name: Teghra Has Total Records : 0
District BANKA , Sub District Name: Amarpur Has Total Records : 0
District BANKA , Sub District Name: Banka Has Total Records : 0
District BANKA , Sub District Name: Bausi Has Total Records : 0
District BANKA , Sub District Name: Belhar Has Total Records : 0
District BANKA , Sub District Name: Chanan Has Total Records : 0
District BANKA , Sub District Name: Dhuraiya Has Total Records : 0
District BANKA , Sub District Name: Katoria Has Total Records : 0
District BANKA , Sub District Name: Phulidumar Has Total Records : 0
District BANKA , Sub District Name: Rajaun Has Total Records : 0
District BANKA , Sub District Name: Shambhuganj Has Total Records : 0
District ARWAL , Sub District Name: Arwal Has Total Records : 0
District ARWAL , Sub District Name: Kaler Has Total Records : 0
District ARWAL , Sub District Name: Karpi Has Total Records : 0
District ARWAL , Sub District Name: Sonbhadra Banshi  Has Total Records : 0
District GOPALGANJ , Sub District Name: Barauli Has Total Records : 0
District GOPALGANJ , Sub District Name: Bhorey Has Total Records : 0
District GOPALGANJ , Sub District Name: Bijaipur Has Total Records : 0
District GOPALGANJ , Sub District Name: Hathua Has Total Records : 0
District GOPALGANJ , Sub District Name: Katiya Has Total Records : 0
District GOPALGANJ , Sub District Name: Kuchaikote Has Total Records : 0
District GOPALGANJ , Sub District Name: Manjha Has Total Records : 0
District GOPALGANJ , Sub District Name: Pach Deuri Has Total Records : 0
District GOPALGANJ , Sub District Name: Phulwaria Has Total Records : 0
District GOPALGANJ , Sub District Name: Sidhwalia Has Total Records : 0
District GOPALGANJ , Sub District Name: Thawe Has Total Records : 0
District GOPALGANJ , Sub District Name: Uchkagaon Has Total Records : 0
District ARWAL , Sub District Name: Kaler Has Total Records : 0
District ARWAL , Sub District Name: Sonbhadra Banshi  Has Total Records : 0
District VAISHALI , Sub District Name: Jandaha Has Total Records : 0
District VAISHALI , Sub District Name: Mahnar Has Total Records : 0
District VAISHALI , Sub District Name: Paterhi Belsar Has Total Records : 0
District VAISHALI , Sub District Name: Raghopur Has Total Records : 0
District SUPAUL , Sub District Name: Pipra Has Total Records : 0
District SIWAN , Sub District Name: Mairwa Has Total Records : 0
District SIWAN , Sub District Name: Raghunathpur Has Total Records : 0
District SARAN , Sub District Name: Amnour Has Total Records : 0
District SARAN , Sub District Name: Baniapur Has Total Records : 0
District SARAN , Sub District Name: Dariapur Has Total Records : 0
District SARAN , Sub District Name: Dighwara Has Total Records : 0
District SARAN , Sub District Name: Garkha Has Total Records : 0
District SARAN , Sub District Name: Ishupur Has Total Records : 0
District SARAN , Sub District Name: Lahladpur Has Total Records : 0
District SARAN , Sub District Name: Marhaura Has Total Records : 0
District SARAN , Sub District Name: Panapur Has Total Records : 0
District SARAN , Sub District Name: Parsa Has Total Records : 0
District SARAN , Sub District Name: Taraiya Has Total Records : 0
District SAHARSA , Sub District Name: Banma Itahri Has Total Records : 0
District SAHARSA , Sub District Name: null Has Total Records : 0


Spider "farmers_records" closed at "2024-05-11 103149"


Spider "farmers_records" Scraped Total Products "100870"


Spider Error:: 



